"observation_id","subject_type","subject_id","metric_id","value_numeric","value_text","unit_label","year","time_granularity","quality_flag","comparability_flag","population_group_id","dataset_release_id","source_indicator_code","source_country_code","source_country_name"
"observation/USA/total_population/1995/all","Jurisdiction","jurisdiction/USA","total_population","266278000","","people","1995","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/1996/all","Jurisdiction","jurisdiction/USA","total_population","269394000","","people","1996","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/1997/all","Jurisdiction","jurisdiction/USA","total_population","272657000","","people","1997","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/1998/all","Jurisdiction","jurisdiction/USA","total_population","275854000","","people","1998","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/1999/all","Jurisdiction","jurisdiction/USA","total_population","279040000","","people","1999","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2000/all","Jurisdiction","jurisdiction/USA","total_population","282162411","","people","2000","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2001/all","Jurisdiction","jurisdiction/USA","total_population","284968955","","people","2001","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2002/all","Jurisdiction","jurisdiction/USA","total_population","287625193","","people","2002","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2003/all","Jurisdiction","jurisdiction/USA","total_population","290107933","","people","2003","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2004/all","Jurisdiction","jurisdiction/USA","total_population","292805298","","people","2004","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2005/all","Jurisdiction","jurisdiction/USA","total_population","295516599","","people","2005","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2006/all","Jurisdiction","jurisdiction/USA","total_population","298379912","","people","2006","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2007/all","Jurisdiction","jurisdiction/USA","total_population","301231207","","people","2007","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2008/all","Jurisdiction","jurisdiction/USA","total_population","304093966","","people","2008","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2009/all","Jurisdiction","jurisdiction/USA","total_population","306771529","","people","2009","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2010/all","Jurisdiction","jurisdiction/USA","total_population","309378227","","people","2010","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2011/all","Jurisdiction","jurisdiction/USA","total_population","311839461","","people","2011","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2012/all","Jurisdiction","jurisdiction/USA","total_population","314339099","","people","2012","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2013/all","Jurisdiction","jurisdiction/USA","total_population","316726282","","people","2013","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2014/all","Jurisdiction","jurisdiction/USA","total_population","319257560","","people","2014","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2015/all","Jurisdiction","jurisdiction/USA","total_population","321815121","","people","2015","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2016/all","Jurisdiction","jurisdiction/USA","total_population","324353340","","people","2016","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2017/all","Jurisdiction","jurisdiction/USA","total_population","326608609","","people","2017","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2018/all","Jurisdiction","jurisdiction/USA","total_population","328529577","","people","2018","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2019/all","Jurisdiction","jurisdiction/USA","total_population","330226227","","people","2019","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2020/all","Jurisdiction","jurisdiction/USA","total_population","331577720","","people","2020","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2021/all","Jurisdiction","jurisdiction/USA","total_population","332099760","","people","2021","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2022/all","Jurisdiction","jurisdiction/USA","total_population","334017321","","people","2022","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2023/all","Jurisdiction","jurisdiction/USA","total_population","336806231","","people","2023","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
"observation/USA/total_population/2024/all","Jurisdiction","jurisdiction/USA","total_population","340110988","","people","2024","annual","unknown","partially_comparable","","release/worldbank/edstats_phase1/2026-03-30","SP.POP.TOTL","USA","United States"
